Participant,HR,Time,Label
1,65.87,1644296659,0
1,65.83,1644296725,0
1,65.82,1644296791,0
1,65.78,1644296857,0
1,65.78,1644296922,0
1,65.8,1644296988,0
1,65.85,1644297054,0
1,65.93,1644297120,0
1,66.05,1644297186,0
1,66.15,1644297252,0
1,66.3,1644297318,0
1,66.47,1644297384,0
1,66.67,1644297451,0
1,66.87,1644297517,0
1,67.08,1644297584,0
1,67.28,1644297651,0
1,67.52,1644297719,0
1,67.75,1644297786,0
1,67.95,1644297854,0
1,68.12,1644297922,0
1,68.28,1644297990,0
1,68.43,1644298058,0
1,68.53,1644298127,0
1,68.67,1644298195,0
1,68.78,1644298264,0
1,68.88,1644298333,0
1,69.0,1644298402,0
1,69.12,1644298471,0
1,69.25,1644298540,0
1,69.38,1644298609,0
1,69.53,1644298678,0
1,69.67,1644298748,0
1,69.82,1644298818,0
1,69.93,1644298887,0
1,70.05,1644298957,0
1,70.15,1644299027,0
1,70.27,1644299098,0
1,70.4,1644299168,0
1,70.55,1644299238,0
1,70.72,1644299309,0
1,70.9,1644299379,0
1,71.15,1644299450,0
1,71.37,1644299521,0
1,71.62,1644299593,0
1,71.9,1644299664,0
1,72.15,1644299736,0
1,72.37,1644299809,0
1,72.53,1644299881,0
1,72.68,1644299953,0
1,72.8,1644300026,0
1,72.97,1644300099,0
